image_id,image_filename,file_path,true_label,generator_model,art_style,source_folder
real_0042,0_040838.png,images/real/classical_art/0_040838.png,real,human,surrealism,data\raw\art_dataset\real\classical_art
real_0043,0_040760.png,images/real/classical_art/0_040760.png,real,human,surrealism,data\raw\art_dataset\real\classical_art
real_0044,0_043113.png,images/real/classical_art/0_043113.png,real,human,surrealism,data\raw\art_dataset\real\classical_art
real_0045,0_040793.png,images/real/classical_art/0_040793.png,real,human,surrealism,data\raw\art_dataset\real\classical_art
real_0046,0_042941.png,images/real/classical_art/0_042941.png,real,human,surrealism,data\raw\art_dataset\real\classical_art
real_0047,0_042818.png,images/real/classical_art/0_042818.png,real,human,surrealism,data\raw\art_dataset\real\classical_art
real_0048,0_044946.png,images/real/classical_art/0_044946.png,real,human,surrealism,data\raw\art_dataset\real\classical_art
real_0049,0_042167.png,images/real/classical_art/0_042167.png,real,human,surrealism,data\raw\art_dataset\real\classical_art
real_0050,0_040356.png,images/real/classical_art/0_040356.png,real,human,surrealism,data\raw\art_dataset\real\classical_art
real_0051,0_053978.png,images/real/classical_art/0_053978.png,real,human,impressionism,data\raw\art_dataset\real\classical_art
real_0052,0_018764.png,images/real/classical_art/0_018764.png,real,human,impressionism,data\raw\art_dataset\real\classical_art
real_0053,0_019393.png,images/real/classical_art/0_019393.png,real,human,impressionism,data\raw\art_dataset\real\classical_art
real_0054,0_016023.png,images/real/classical_art/0_016023.png,real,human,impressionism,data\raw\art_dataset\real\classical_art
real_0055,0_018101.png,images/real/classical_art/0_018101.png,real,human,impressionism,data\raw\art_dataset\real\classical_art
real_0056,0_015646.png,images/real/classical_art/0_015646.png,real,human,impressionism,data\raw\art_dataset\real\classical_art
real_0057,0_019523.png,images/real/classical_art/0_019523.png,real,human,impressionism,data\raw\art_dataset\real\classical_art
real_0058,0_017402.png,images/real/classical_art/0_017402.png,real,human,impressionism,data\raw\art_dataset\real\classical_art
real_0059,0_053150.png,images/real/classical_art/0_053150.png,real,human,impressionism,data\raw\art_dataset\real\classical_art
real_0060,0_053067.png,images/real/classical_art/0_053067.png,real,human,impressionism,data\raw\art_dataset\real\classical_art
real_0061,0_017963.png,images/real/classical_art/0_017963.png,real,human,impressionism,data\raw\art_dataset\real\classical_art
real_0062,0_019730.png,images/real/classical_art/0_019730.png,real,human,impressionism,data\raw\art_dataset\real\classical_art
real_0063,0_016576.png,images/real/classical_art/0_016576.png,real,human,impressionism,data\raw\art_dataset\real\classical_art
real_0064,0_053772.png,images/real/classical_art/0_053772.png,real,human,impressionism,data\raw\art_dataset\real\classical_art
real_0065,0_015570.png,images/real/classical_art/0_015570.png,real,human,impressionism,data\raw\art_dataset\real\classical_art
real_0066,0_015376.png,images/real/classical_art/0_015376.png,real,human,impressionism,data\raw\art_dataset\real\classical_art
real_0067,0_053418.png,images/real/classical_art/0_053418.png,real,human,impressionism,data\raw\art_dataset\real\classical_art
real_0068,0_016867.png,images/real/classical_art/0_016867.png,real,human,impressionism,data\raw\art_dataset\real\classical_art
real_0069,0_017371.png,images/real/classical_art/0_017371.png,real,human,impressionism,data\raw\art_dataset\real\classical_art
real_0070,0_015654.png,images/real/classical_art/0_015654.png,real,human,impressionism,data\raw\art_dataset\real\classical_art
real_0071,0_016908.png,images/real/classical_art/0_016908.png,real,human,impressionism,data\raw\art_dataset\real\classical_art
real_0072,0_015828.png,images/real/classical_art/0_015828.png,real,human,impressionism,data\raw\art_dataset\real\classical_art
real_0073,0_018114.png,images/real/classical_art/0_018114.png,real,human,impressionism,data\raw\art_dataset\real\classical_art
real_0074,0_017278.png,images/real/classical_art/0_017278.png,real,human,impressionism,data\raw\art_dataset\real\classical_art
real_0075,0_018715.png,images/real/classical_art/0_018715.png,real,human,impressionism,data\raw\art_dataset\real\classical_art
real_0076,0_056208.png,images/real/classical_art/0_056208.png,real,human,renaissance,data\raw\art_dataset\real\classical_art
real_0077,0_032989.png,images/real/classical_art/0_032989.png,real,human,renaissance,data\raw\art_dataset\real\classical_art
real_0078,0_031333.png,images/real/classical_art/0_031333.png,real,human,renaissance,data\raw\art_dataset\real\classical_art
real_0079,0_033033.png,images/real/classical_art/0_033033.png,real,human,renaissance,data\raw\art_dataset\real\classical_art
real_0080,0_032911.png,images/real/classical_art/0_032911.png,real,human,renaissance,data\raw\art_dataset\real\classical_art
real_0081,0_031717.png,images/real/classical_art/0_031717.png,real,human,renaissance,data\raw\art_dataset\real\classical_art
real_0082,0_056491.png,images/real/classical_art/0_056491.png,real,human,renaissance,data\raw\art_dataset\real\classical_art
real_0083,0_032188.png,images/real/classical_art/0_032188.png,real,human,renaissance,data\raw\art_dataset\real\classical_art
real_0084,0_056750.png,images/real/classical_art/0_056750.png,real,human,renaissance,data\raw\art_dataset\real\classical_art
real_0085,0_056600.png,images/real/classical_art/0_056600.png,real,human,renaissance,data\raw\art_dataset\real\classical_art
real_0086,0_056309.png,images/real/classical_art/0_056309.png,real,human,renaissance,data\raw\art_dataset\real\classical_art
real_0087,0_030585.png,images/real/classical_art/0_030585.png,real,human,renaissance,data\raw\art_dataset\real\classical_art
real_0088,0_034991.png,images/real/classical_art/0_034991.png,real,human,renaissance,data\raw\art_dataset\real\classical_art
real_0089,0_056202.png,images/real/classical_art/0_056202.png,real,human,renaissance,data\raw\art_dataset\real\classical_art
real_0090,0_031402.png,images/real/classical_art/0_031402.png,real,human,renaissance,data\raw\art_dataset\real\classical_art
real_0091,0_034376.png,images/real/classical_art/0_034376.png,real,human,renaissance,data\raw\art_dataset\real\classical_art
real_0092,0_056974.png,images/real/classical_art/0_056974.png,real,human,renaissance,data\raw\art_dataset\real\classical_art
real_0093,0_032006.png,images/real/classical_art/0_032006.png,real,human,renaissance,data\raw\art_dataset\real\classical_art
real_0094,0_031339.png,images/real/classical_art/0_031339.png,real,human,renaissance,data\raw\art_dataset\real\classical_art
real_0095,0_033787.png,images/real/classical_art/0_033787.png,real,human,renaissance,data\raw\art_dataset\real\classical_art
real_0096,0_033109.png,images/real/classical_art/0_033109.png,real,human,renaissance,data\raw\art_dataset\real\classical_art
real_0097,0_032212.png,images/real/classical_art/0_032212.png,real,human,renaissance,data\raw\art_dataset\real\classical_art
real_0098,0_056243.png,images/real/classical_art/0_056243.png,real,human,renaissance,data\raw\art_dataset\real\classical_art
real_0099,0_056638.png,images/real/classical_art/0_056638.png,real,human,renaissance,data\raw\art_dataset\real\classical_art
real_0100,0_034563.png,images/real/classical_art/0_034563.png,real,human,renaissance,data\raw\art_dataset\real\classical_art
real_0101,0_006800.png,images/real/classical_art/0_006800.png,real,human,baroque,data\raw\art_dataset\real\classical_art
real_0102,0_051609.png,images/real/classical_art/0_051609.png,real,human,baroque,data\raw\art_dataset\real\classical_art
real_0103,0_007657.png,images/real/classical_art/0_007657.png,real,human,baroque,data\raw\art_dataset\real\classical_art
real_0104,0_005459.png,images/real/classical_art/0_005459.png,real,human,baroque,data\raw\art_dataset\real\classical_art
real_0105,0_006877.png,images/real/classical_art/0_006877.png,real,human,baroque,data\raw\art_dataset\real\classical_art
real_0106,0_005263.png,images/real/classical_art/0_005263.png,real,human,baroque,data\raw\art_dataset\real\classical_art
real_0107,0_007585.png,images/real/classical_art/0_007585.png,real,human,baroque,data\raw\art_dataset\real\classical_art
real_0108,0_008287.png,images/real/classical_art/0_008287.png,real,human,baroque,data\raw\art_dataset\real\classical_art
real_0109,0_007194.png,images/real/classical_art/0_007194.png,real,human,baroque,data\raw\art_dataset\real\classical_art
real_0110,0_005543.png,images/real/classical_art/0_005543.png,real,human,baroque,data\raw\art_dataset\real\classical_art
real_0111,0_006729.png,images/real/classical_art/0_006729.png,real,human,baroque,data\raw\art_dataset\real\classical_art
real_0112,0_009647.png,images/real/classical_art/0_009647.png,real,human,baroque,data\raw\art_dataset\real\classical_art
real_0113,0_051882.png,images/real/classical_art/0_051882.png,real,human,baroque,data\raw\art_dataset\real\classical_art
real_0114,0_007578.png,images/real/classical_art/0_007578.png,real,human,baroque,data\raw\art_dataset\real\classical_art
real_0115,0_006742.png,images/real/classical_art/0_006742.png,real,human,baroque,data\raw\art_dataset\real\classical_art
real_0116,0_051370.png,images/real/classical_art/0_051370.png,real,human,baroque,data\raw\art_dataset\real\classical_art
real_0117,0_009090.png,images/real/classical_art/0_009090.png,real,human,baroque,data\raw\art_dataset\real\classical_art
real_0118,0_008242.png,images/real/classical_art/0_008242.png,real,human,baroque,data\raw\art_dataset\real\classical_art
real_0119,0_051267.png,images/real/classical_art/0_051267.png,real,human,baroque,data\raw\art_dataset\real\classical_art
real_0120,0_008759.png,images/real/classical_art/0_008759.png,real,human,baroque,data\raw\art_dataset\real\classical_art
real_0121,0_006171.png,images/real/classical_art/0_006171.png,real,human,baroque,data\raw\art_dataset\real\classical_art
real_0122,0_007170.png,images/real/classical_art/0_007170.png,real,human,baroque,data\raw\art_dataset\real\classical_art
real_0123,0_006144.png,images/real/classical_art/0_006144.png,real,human,baroque,data\raw\art_dataset\real\classical_art
real_0124,0_007021.png,images/real/classical_art/0_007021.png,real,human,baroque,data\raw\art_dataset\real\classical_art
real_0125,0_009599.png,images/real/classical_art/0_009599.png,real,human,baroque,data\raw\art_dataset\real\classical_art
real_0126,0_004416.png,images/real/classical_art/0_004416.png,real,human,art_nouveau,data\raw\art_dataset\real\classical_art
real_0127,0_002153.png,images/real/classical_art/0_002153.png,real,human,art_nouveau,data\raw\art_dataset\real\classical_art
real_0128,0_004789.png,images/real/classical_art/0_004789.png,real,human,art_nouveau,data\raw\art_dataset\real\classical_art
real_0129,0_003510.png,images/real/classical_art/0_003510.png,real,human,art_nouveau,data\raw\art_dataset\real\classical_art
real_0130,0_004781.png,images/real/classical_art/0_004781.png,real,human,art_nouveau,data\raw\art_dataset\real\classical_art
real_0131,0_003272.png,images/real/classical_art/0_003272.png,real,human,art_nouveau,data\raw\art_dataset\real\classical_art
real_0132,0_002966.png,images/real/classical_art/0_002966.png,real,human,art_nouveau,data\raw\art_dataset\real\classical_art
real_0133,0_001797.png,images/real/classical_art/0_001797.png,real,human,art_nouveau,data\raw\art_dataset\real\classical_art
real_0134,0_001134.png,images/real/classical_art/0_001134.png,real,human,art_nouveau,data\raw\art_dataset\real\classical_art
real_0135,0_004175.png,images/real/classical_art/0_004175.png,real,human,art_nouveau,data\raw\art_dataset\real\classical_art
real_0136,0_004043.png,images/real/classical_art/0_004043.png,real,human,art_nouveau,data\raw\art_dataset\real\classical_art
real_0137,0_000745.png,images/real/classical_art/0_000745.png,real,human,art_nouveau,data\raw\art_dataset\real\classical_art
real_0138,0_000386.png,images/real/classical_art/0_000386.png,real,human,art_nouveau,data\raw\art_dataset\real\classical_art
real_0139,0_000899.png,images/real/classical_art/0_000899.png,real,human,art_nouveau,data\raw\art_dataset\real\classical_art
real_0140,0_001253.png,images/real/classical_art/0_001253.png,real,human,art_nouveau,data\raw\art_dataset\real\classical_art
real_0141,0_050141.png,images/real/classical_art/0_050141.png,real,human,art_nouveau,data\raw\art_dataset\real\classical_art
real_0142,0_001311.png,images/real/classical_art/0_001311.png,real,human,art_nouveau,data\raw\art_dataset\real\classical_art
real_0143,0_050575.png,images/real/classical_art/0_050575.png,real,human,art_nouveau,data\raw\art_dataset\real\classical_art
real_0144,0_003459.png,images/real/classical_art/0_003459.png,real,human,art_nouveau,data\raw\art_dataset\real\classical_art
real_0145,0_004886.png,images/real/classical_art/0_004886.png,real,human,art_nouveau,data\raw\art_dataset\real\classical_art
real_0146,0_000521.png,images/real/classical_art/0_000521.png,real,human,art_nouveau,data\raw\art_dataset\real\classical_art
real_0147,0_003153.png,images/real/classical_art/0_003153.png,real,human,art_nouveau,data\raw\art_dataset\real\classical_art
real_0148,0_003127.png,images/real/classical_art/0_003127.png,real,human,art_nouveau,data\raw\art_dataset\real\classical_art
real_0149,0_004882.png,images/real/classical_art/0_004882.png,real,human,art_nouveau,data\raw\art_dataset\real\classical_art
real_0150,0_003835.png,images/real/classical_art/0_003835.png,real,human,art_nouveau,data\raw\art_dataset\real\classical_art
real_0151,0_039335.png,images/real/classical_art/0_039335.png,real,human,romanticism,data\raw\art_dataset\real\classical_art
real_0152,0_037060.png,images/real/classical_art/0_037060.png,real,human,romanticism,data\raw\art_dataset\real\classical_art
real_0153,0_039533.png,images/real/classical_art/0_039533.png,real,human,romanticism,data\raw\art_dataset\real\classical_art
real_0154,0_035095.png,images/real/classical_art/0_035095.png,real,human,romanticism,data\raw\art_dataset\real\classical_art
real_0155,0_057573.png,images/real/classical_art/0_057573.png,real,human,romanticism,data\raw\art_dataset\real\classical_art
real_0156,0_057905.png,images/real/classical_art/0_057905.png,real,human,romanticism,data\raw\art_dataset\real\classical_art
real_0157,0_035939.png,images/real/classical_art/0_035939.png,real,human,romanticism,data\raw\art_dataset\real\classical_art
real_0158,0_057585.png,images/real/classical_art/0_057585.png,real,human,romanticism,data\raw\art_dataset\real\classical_art
real_0159,0_039399.png,images/real/classical_art/0_039399.png,real,human,romanticism,data\raw\art_dataset\real\classical_art
real_0160,0_037186.png,images/real/classical_art/0_037186.png,real,human,romanticism,data\raw\art_dataset\real\classical_art
real_0161,0_057251.png,images/real/classical_art/0_057251.png,real,human,romanticism,data\raw\art_dataset\real\classical_art
real_0162,0_037787.png,images/real/classical_art/0_037787.png,real,human,romanticism,data\raw\art_dataset\real\classical_art
real_0163,0_035914.png,images/real/classical_art/0_035914.png,real,human,romanticism,data\raw\art_dataset\real\classical_art
real_0164,0_037405.png,images/real/classical_art/0_037405.png,real,human,romanticism,data\raw\art_dataset\real\classical_art
real_0165,0_038562.png,images/real/classical_art/0_038562.png,real,human,romanticism,data\raw\art_dataset\real\classical_art
real_0166,0_036296.png,images/real/classical_art/0_036296.png,real,human,romanticism,data\raw\art_dataset\real\classical_art
real_0167,0_038717.png,images/real/classical_art/0_038717.png,real,human,romanticism,data\raw\art_dataset\real\classical_art
real_0168,0_035027.png,images/real/classical_art/0_035027.png,real,human,romanticism,data\raw\art_dataset\real\classical_art
real_0169,0_057916.png,images/real/classical_art/0_057916.png,real,human,romanticism,data\raw\art_dataset\real\classical_art
real_0170,0_057896.png,images/real/classical_art/0_057896.png,real,human,romanticism,data\raw\art_dataset\real\classical_art
real_0171,0_037158.png,images/real/classical_art/0_037158.png,real,human,romanticism,data\raw\art_dataset\real\classical_art
real_0172,0_039101.png,images/real/classical_art/0_039101.png,real,human,romanticism,data\raw\art_dataset\real\classical_art
real_0173,0_036464.png,images/real/classical_art/0_036464.png,real,human,romanticism,data\raw\art_dataset\real\classical_art
real_0174,0_039159.png,images/real/classical_art/0_039159.png,real,human,romanticism,data\raw\art_dataset\real\classical_art
real_0175,0_035872.png,images/real/classical_art/0_035872.png,real,human,romanticism,data\raw\art_dataset\real\classical_art
real_0176,0_052123.png,images/real/classical_art/0_052123.png,real,human,expressionism,data\raw\art_dataset\real\classical_art
real_0177,0_012445.png,images/real/classical_art/0_012445.png,real,human,expressionism,data\raw\art_dataset\real\classical_art
real_0178,0_052235.png,images/real/classical_art/0_052235.png,real,human,expressionism,data\raw\art_dataset\real\classical_art
real_0179,0_014159.png,images/real/classical_art/0_014159.png,real,human,expressionism,data\raw\art_dataset\real\classical_art
real_0180,0_014989.png,images/real/classical_art/0_014989.png,real,human,expressionism,data\raw\art_dataset\real\classical_art
real_0181,0_011630.png,images/real/classical_art/0_011630.png,real,human,expressionism,data\raw\art_dataset\real\classical_art
real_0182,0_011253.png,images/real/classical_art/0_011253.png,real,human,expressionism,data\raw\art_dataset\real\classical_art
real_0183,0_013064.png,images/real/classical_art/0_013064.png,real,human,expressionism,data\raw\art_dataset\real\classical_art
real_0184,0_011324.png,images/real/classical_art/0_011324.png,real,human,expressionism,data\raw\art_dataset\real\classical_art
real_0185,0_014419.png,images/real/classical_art/0_014419.png,real,human,expressionism,data\raw\art_dataset\real\classical_art
real_0186,0_014345.png,images/real/classical_art/0_014345.png,real,human,expressionism,data\raw\art_dataset\real\classical_art
real_0187,0_010005.png,images/real/classical_art/0_010005.png,real,human,expressionism,data\raw\art_dataset\real\classical_art
real_0188,0_014907.png,images/real/classical_art/0_014907.png,real,human,expressionism,data\raw\art_dataset\real\classical_art
real_0189,0_012656.png,images/real/classical_art/0_012656.png,real,human,expressionism,data\raw\art_dataset\real\classical_art
real_0190,0_014003.png,images/real/classical_art/0_014003.png,real,human,expressionism,data\raw\art_dataset\real\classical_art
real_0191,0_010160.png,images/real/classical_art/0_010160.png,real,human,expressionism,data\raw\art_dataset\real\classical_art
real_0192,0_010917.png,images/real/classical_art/0_010917.png,real,human,expressionism,data\raw\art_dataset\real\classical_art
real_0193,0_012974.png,images/real/classical_art/0_012974.png,real,human,expressionism,data\raw\art_dataset\real\classical_art
real_0194,0_012520.png,images/real/classical_art/0_012520.png,real,human,expressionism,data\raw\art_dataset\real\classical_art
real_0195,0_011962.png,images/real/classical_art/0_011962.png,real,human,expressionism,data\raw\art_dataset\real\classical_art
real_0196,0_010475.png,images/real/classical_art/0_010475.png,real,human,expressionism,data\raw\art_dataset\real\classical_art
real_0197,0_011974.png,images/real/classical_art/0_011974.png,real,human,expressionism,data\raw\art_dataset\real\classical_art
real_0198,0_014648.png,images/real/classical_art/0_014648.png,real,human,expressionism,data\raw\art_dataset\real\classical_art
real_0199,0_010646.png,images/real/classical_art/0_010646.png,real,human,expressionism,data\raw\art_dataset\real\classical_art
real_0200,0_010702.png,images/real/classical_art/0_010702.png,real,human,expressionism,data\raw\art_dataset\real\classical_art
real_0201,0_054996.png,images/real/classical_art/0_054996.png,real,human,post_impressionism,data\raw\art_dataset\real\classical_art
real_0202,0_023982.png,images/real/classical_art/0_023982.png,real,human,post_impressionism,data\raw\art_dataset\real\classical_art
real_0203,0_020567.png,images/real/classical_art/0_020567.png,real,human,post_impressionism,data\raw\art_dataset\real\classical_art
real_0204,0_024364.png,images/real/classical_art/0_024364.png,real,human,post_impressionism,data\raw\art_dataset\real\classical_art
real_0205,0_021031.png,images/real/classical_art/0_021031.png,real,human,post_impressionism,data\raw\art_dataset\real\classical_art
real_0206,0_021052.png,images/real/classical_art/0_021052.png,real,human,post_impressionism,data\raw\art_dataset\real\classical_art
real_0207,0_054405.png,images/real/classical_art/0_054405.png,real,human,post_impressionism,data\raw\art_dataset\real\classical_art
real_0208,0_023894.png,images/real/classical_art/0_023894.png,real,human,post_impressionism,data\raw\art_dataset\real\classical_art
real_0209,0_024504.png,images/real/classical_art/0_024504.png,real,human,post_impressionism,data\raw\art_dataset\real\classical_art
real_0210,0_021353.png,images/real/classical_art/0_021353.png,real,human,post_impressionism,data\raw\art_dataset\real\classical_art
real_0211,0_022172.png,images/real/classical_art/0_022172.png,real,human,post_impressionism,data\raw\art_dataset\real\classical_art
real_0212,0_024323.png,images/real/classical_art/0_024323.png,real,human,post_impressionism,data\raw\art_dataset\real\classical_art
real_0213,0_024970.png,images/real/classical_art/0_024970.png,real,human,post_impressionism,data\raw\art_dataset\real\classical_art
real_0214,0_023467.png,images/real/classical_art/0_023467.png,real,human,post_impressionism,data\raw\art_dataset\real\classical_art
real_0215,0_021736.png,images/real/classical_art/0_021736.png,real,human,post_impressionism,data\raw\art_dataset\real\classical_art
real_0216,0_024418.png,images/real/classical_art/0_024418.png,real,human,post_impressionism,data\raw\art_dataset\real\classical_art
real_0217,0_054980.png,images/real/classical_art/0_054980.png,real,human,post_impressionism,data\raw\art_dataset\real\classical_art
real_0218,0_054652.png,images/real/classical_art/0_054652.png,real,human,post_impressionism,data\raw\art_dataset\real\classical_art
real_0219,0_021648.png,images/real/classical_art/0_021648.png,real,human,post_impressionism,data\raw\art_dataset\real\classical_art
real_0220,0_054841.png,images/real/classical_art/0_054841.png,real,human,post_impressionism,data\raw\art_dataset\real\classical_art
real_0221,0_022554.png,images/real/classical_art/0_022554.png,real,human,post_impressionism,data\raw\art_dataset\real\classical_art
real_0222,0_023269.png,images/real/classical_art/0_023269.png,real,human,post_impressionism,data\raw\art_dataset\real\classical_art
real_0223,0_054503.png,images/real/classical_art/0_054503.png,real,human,post_impressionism,data\raw\art_dataset\real\classical_art
real_0224,0_054324.png,images/real/classical_art/0_054324.png,real,human,post_impressionism,data\raw\art_dataset\real\classical_art
real_0225,0_023060.png,images/real/classical_art/0_023060.png,real,human,post_impressionism,data\raw\art_dataset\real\classical_art
real_0226,0_048589.png,images/real/classical_art/0_048589.png,real,human,ukiyo_e,data\raw\art_dataset\real\classical_art
real_0227,0_049240.png,images/real/classical_art/0_049240.png,real,human,ukiyo_e,data\raw\art_dataset\real\classical_art
real_0228,0_048699.png,images/real/classical_art/0_048699.png,real,human,ukiyo_e,data\raw\art_dataset\real\classical_art
real_0229,0_045992.png,images/real/classical_art/0_045992.png,real,human,ukiyo_e,data\raw\art_dataset\real\classical_art
real_0230,0_047031.png,images/real/classical_art/0_047031.png,real,human,ukiyo_e,data\raw\art_dataset\real\classical_art
real_0231,0_046841.png,images/real/classical_art/0_046841.png,real,human,ukiyo_e,data\raw\art_dataset\real\classical_art
real_0232,0_045525.png,images/real/classical_art/0_045525.png,real,human,ukiyo_e,data\raw\art_dataset\real\classical_art
real_0233,0_047770.png,images/real/classical_art/0_047770.png,real,human,ukiyo_e,data\raw\art_dataset\real\classical_art
real_0234,0_045173.png,images/real/classical_art/0_045173.png,real,human,ukiyo_e,data\raw\art_dataset\real\classical_art
real_0235,0_049820.png,images/real/classical_art/0_049820.png,real,human,ukiyo_e,data\raw\art_dataset\real\classical_art
real_0236,0_049538.png,images/real/classical_art/0_049538.png,real,human,ukiyo_e,data\raw\art_dataset\real\classical_art
real_0237,0_046886.png,images/real/classical_art/0_046886.png,real,human,ukiyo_e,data\raw\art_dataset\real\classical_art
real_0238,0_049821.png,images/real/classical_art/0_049821.png,real,human,ukiyo_e,data\raw\art_dataset\real\classical_art
real_0239,0_046805.png,images/real/classical_art/0_046805.png,real,human,ukiyo_e,data\raw\art_dataset\real\classical_art
real_0240,0_045059.png,images/real/classical_art/0_045059.png,real,human,ukiyo_e,data\raw\art_dataset\real\classical_art
real_0241,0_045582.png,images/real/classical_art/0_045582.png,real,human,ukiyo_e,data\raw\art_dataset\real\classical_art
real_0242,0_059799.png,images/real/classical_art/0_059799.png,real,human,ukiyo_e,data\raw\art_dataset\real\classical_art
real_0243,0_059170.png,images/real/classical_art/0_059170.png,real,human,ukiyo_e,data\raw\art_dataset\real\classical_art
real_0244,0_045483.png,images/real/classical_art/0_045483.png,real,human,ukiyo_e,data\raw\art_dataset\real\classical_art
real_0245,0_046876.png,images/real/classical_art/0_046876.png,real,human,ukiyo_e,data\raw\art_dataset\real\classical_art
real_0246,0_045553.png,images/real/classical_art/0_045553.png,real,human,ukiyo_e,data\raw\art_dataset\real\classical_art
real_0247,0_045258.png,images/real/classical_art/0_045258.png,real,human,ukiyo_e,data\raw\art_dataset\real\classical_art
real_0248,0_047707.png,images/real/classical_art/0_047707.png,real,human,ukiyo_e,data\raw\art_dataset\real\classical_art
real_0249,0_045581.png,images/real/classical_art/0_045581.png,real,human,ukiyo_e,data\raw\art_dataset\real\classical_art
real_0250,0_049212.png,images/real/classical_art/0_049212.png,real,human,ukiyo_e,data\raw\art_dataset\real\classical_art
real_0251,0_061950.png,images/real/general_art/0_061950.png,real,human,general_art,data\raw\art_dataset\real\general_art
